,precision,recall,f1-score,support
Case_Based,0.8571428571428571,0.7,0.7706422018348624,60.0
Genetic_Algorithms,0.8620689655172413,0.8928571428571429,0.8771929824561403,84.0
Neural_Networks,0.7135678391959799,0.8658536585365854,0.7823691460055097,164.0
Probabilistic_Methods,0.8625,0.8117647058823529,0.8363636363636363,85.0
Reinforcement_Learning,0.8536585365853658,0.813953488372093,0.8333333333333334,43.0
Rule_Learning,0.9444444444444444,0.4722222222222222,0.6296296296296297,36.0
Theory,0.6764705882352942,0.6571428571428571,0.6666666666666666,70.0
accuracy,0.7859778597785978,0.7859778597785978,0.7859778597785978,0.7859778597785978
macro avg,0.8242647473030261,0.7448277250018933,0.7708853708985398,542.0
weighted avg,0.7974912332284164,0.7859778597785978,0.7831897755330016,542.0
