True_Label,Predicted_Label,Count
Theory,Neural_Networks,14
Probabilistic_Methods,Neural_Networks,13
Case_Based,Neural_Networks,9
Rule_Learning,Theory,8
Rule_Learning,Neural_Networks,8
Genetic_Algorithms,Neural_Networks,8
Neural_Networks,Probabilistic_Methods,7
Neural_Networks,Genetic_Algorithms,6
Neural_Networks,Theory,6
Case_Based,Theory,5
Reinforcement_Learning,Neural_Networks,5
Reinforcement_Learning,Genetic_Algorithms,3
Theory,Probabilistic_Methods,3
Rule_Learning,Case_Based,3
Theory,Case_Based,3
Case_Based,Genetic_Algorithms,2
Probabilistic_Methods,Theory,2
Theory,Reinforcement_Learning,2
Neural_Networks,Reinforcement_Learning,2
Theory,Genetic_Algorithms,1
Probabilistic_Methods,Reinforcement_Learning,1
Neural_Networks,Case_Based,1
Genetic_Algorithms,Theory,1
Case_Based,Reinforcement_Learning,1
Case_Based,Probabilistic_Methods,1
Theory,Rule_Learning,1
